标题： 【合集】整理了生活大爆炸1-12季❗️超淸未删中英字幕二楼拿👇 	 链接：http://tieba.baidu.com/p/5975259204 	 发帖人：三笠阿克... 	 发帖时间：12-11 	 回复数量： 7 
标题： 生活大爆炸：佩妮为补偿谢尔顿，去找图书馆老板，答应老板这要求 	 链接：http://tieba.baidu.com/p/5976897745 	 发帖人：粉色跳楼... 	 发帖时间：12-13 	 回复数量： 2 
标题： 《少年谢尔顿》 	 链接：http://tieba.baidu.com/p/5972021467 	 发帖人：他说的岁 	 发帖时间：12-7 	 回复数量： 5 
标题： 第十季21集，里面是国内的三只松鼠赞助了吗？ 	 链接：http://tieba.baidu.com/p/5072987118 	 发帖人：卷卷贾超 	 发帖时间：2017-04 	 回复数量： 27 
标题： 【合集】整理了生活大爆炸1-12季❗️超淸未删中英字幕，二楼 	 链接：http://tieba.baidu.com/p/5975279395 	 发帖人：你的小可... 	 发帖时间：12-11 	 回复数量： 3 
标题： 大家有没有觉得莱纳德演得越来越心不在焉的感觉？ 	 链接：http://tieba.baidu.com/p/5954886614 	 发帖人：吴迪hello 	 发帖时间：11-19 	 回复数量： 21 
标题： 求助大家，霍华德和谢耳朵俩人脱光相互报复对方是第几季第几集的 	 链接：http://tieba.baidu.com/p/5979570601 	 发帖人：王府井的... 	 发帖时间：12-15 	 回复数量： 0 
标题： 谢尔顿和艾米上演史诗级吵架，这场面你绝对不想错过，太搞笑了！ 	 链接：http://tieba.baidu.com/p/5978804944 	 发帖人：动情就上枪j 	 发帖时间：12-15 	 回复数量： 2 
标题： 分享：生活大爆炸全季中英高清，附加台词文本哦，各种格式都有哦 	 链接：http://tieba.baidu.com/p/5979549385 	 发帖人：欧美英剧... 	 发帖时间：12-15 	 回复数量： 0 
标题： 12季E10-11剧情 	 链接：http://tieba.baidu.com/p/5970761554 	 发帖人：scorpioblue7 	 发帖时间：12-6 	 回复数量： 2 
标题： 生活大爆炸：莱纳德上一秒义正言辞，下一秒竟然干这事，太虚伪了 	 链接：http://tieba.baidu.com/p/5976570013 	 发帖人：白鸽泉水y 	 发帖时间：12-12 	 回复数量： 0 
标题： 道格拉斯上来就黑生活大爆炸 	 链接：http://tieba.baidu.com/p/5959492819 	 发帖人：网徒 	 发帖时间：11-24 	 回复数量： 7 
标题： 生活大爆炸：莱纳德给拉什牵线，他却做出这举动，难怪美女这样说 	 链接：http://tieba.baidu.com/p/5975772867 	 发帖人：动情就上枪j 	 发帖时间：12-11 	 回复数量： 2 
标题： 哇！好激动！破产姐妹里的Caroline来生活大爆炸客串了 	 链接：http://tieba.baidu.com/p/5522437782 	 发帖人：顾年年 	 发帖时间：1-20 	 回复数量： 19 
标题： 初来乍到 感谢有TBBT陪伴的大半年 好不容易追到了第五季 	 链接：http://tieba.baidu.com/p/5357226888 	 发帖人：飞起来的... 	 发帖时间：2017-10 	 回复数量： 8 
标题： 少年谢尔顿  Meemaw's brisket  这牛肉馋死我了 	 链接：http://tieba.baidu.com/p/5471089544 	 发帖人：沫雪若非 	 发帖时间：2017-12 	 回复数量： 6 
标题： 这季就完结了，耳朵他哥，他爹，死党Tam都出来联动了，pag 	 链接：http://tieba.baidu.com/p/5972367155 	 发帖人：Jarhead3 	 发帖时间：12-8 	 回复数量： 3 
标题： 罐头拉环还了怎么办？ 	 链接：http://tieba.baidu.com/p/5979352010 	 发帖人：曾大大i1 	 发帖时间：12-15 	 回复数量： 0 
标题： 有人知道s11e06里Haward用的那个铃声是什么app吗 	 链接：http://tieba.baidu.com/p/5414057456 	 发帖人：【Vison】 	 发帖时间：2017-11 	 回复数量： 22 
标题： 大家有没有注意到，11季拍完了，莱讷和谢耳朵发际线都后移了！ 	 链接：http://tieba.baidu.com/p/5728051440 	 发帖人：jfybaby 	 发帖时间：6-2 	 回复数量： 11 
标题： 虽然知道是这个结局，看到时还是笑出眼泪 	 链接：http://tieba.baidu.com/p/5977658071 	 发帖人：威武的小... 	 发帖时间：12-13 	 回复数量： 6 
标题： 天天有羊毛 	 链接：http://tieba.baidu.com/p/5979169860 	 发帖人：爱因邪影 	 发帖时间：12-15 	 回复数量： 1 
标题： 谁能告诉我《生活大爆炸》智商最高的? 	 链接：http://tieba.baidu.com/p/5828265776 	 发帖人：量子星耀 	 发帖时间：8-6 	 回复数量： 26 
标题： 从第六集开始那个谢耳朵女朋友出现我真是看不下去了！长这样吓死 	 链接：http://tieba.baidu.com/p/3747237791 	 发帖人：xufeiwwcc 	 发帖时间：2015-05 	 回复数量： 16 
标题： 《生活大爆炸》搞笑片段！！①http://www.bilib 	 链接：http://tieba.baidu.com/p/5979010127 	 发帖人：最好的自... 	 发帖时间：12-15 	 回复数量： 1 
标题： 感觉我讨厌谢尔顿了 	 链接：http://tieba.baidu.com/p/4549070309 	 发帖人： 	 发帖时间：2016-05 	 回复数量： 55 
标题： 搞笑的《生活大爆炸》片段！http://www.bilibi 	 链接：http://tieba.baidu.com/p/5978999294 	 发帖人：最好的自... 	 发帖时间：12-15 	 回复数量： 0 
标题： 这个视频真的可以看好多遍 	 链接：http://tieba.baidu.com/p/5978055853 	 发帖人：nicer 	 发帖时间：12-14 	 回复数量： 0 
