,chapter,num,url
0,大结局,第2052章,www.qu.la10570088.html
1,楚国的雪,第2051章,www.qu.la10570043.html
2,天外客,第2050章,www.qu.la10569959.html
3,神王弟子,第2049章,www.qu.la10569824.html
4,回来了,第2048章,www.qu.la10569750.html
5,参见神王,第2047章,www.qu.la10569675.html
6,我娶你啊,第2046章,www.qu.la10568968.html
7,二十岁生日那天,第2045章,www.qu.la10568871.html
8,十八岁的烦恼,第2044章,www.qu.la10568553.html
9,断脉修行,第一章,www.qu.la/book/4140/2585313.html
10,恩将仇报,第二章,www.qu.la/book/4140/2585314.html
11,天才觉醒,第三章,www.qu.la/book/4140/2585315.html
12,千锤百炼,第四章,www.qu.la/book/4140/2587578.html
13,白秋雪态度,第五章,www.qu.la/book/4140/2587579.html
14,帝星学院,第六章,www.qu.la/book/4140/2588654.html
15,铁血父子,第七章,www.qu.la/book/4140/2589392.html
16,姐弟,第八章,www.qu.la/book/4140/2591081.html
17,降龙拳,第九章,www.qu.la/book/4140/2591585.html
18,齐聚白府,第十章,www.qu.la/book/4140/2592901.html
19,考核,第十一章,www.qu.la/book/4140/2593221.html
20,鸿沟,第十二章,www.qu.la/book/4140/2594263.html
21,锋芒毕露,第十三章,www.qu.la/book/4140/2594577.html
22,选择,第十四章,www.qu.la/book/4140/2596032.html
23,诏令,第十五章,www.qu.la/book/4140/2596422.html
24,少年心性,第十六章,www.qu.la/book/4140/2597567.html
25,星辰小人,第十七章,www.qu.la/book/4140/2597897.html
26,星河公会,第十八章,www.qu.la/book/4140/2598884.html
27,天生炼器师,第十九章,www.qu.la/book/4140/2600096.html
28,压迫,第二十章,www.qu.la/book/4140/2601229.html
29,狠辣,第二十一章,www.qu.la/book/4140/2602001.html
30,封平来访,第二十二章,www.qu.la/book/4140/2602986.html
31,危机,第二十三章,www.qu.la/book/4140/2603503.html
32,冷冽的心,第二十四章,www.qu.la/book/4140/2604285.html
33,暴走的少年,第二十五章,www.qu.la/book/4140/2604788.html
34,援军,第二十六章,www.qu.la/book/4140/2605433.html
35,险恶人心,第二十七章,www.qu.la/book/4140/2605867.html
36,召唤战兽,第二十八章,www.qu.la/book/4140/2606138.html
37,白晴的天赋,第二十九章,www.qu.la/book/4140/2607454.html
38,局势,第三十章,www.qu.la/book/4140/2608793.html
39,远行,第三十一章,www.qu.la/book/4140/2610985.html
40,皇城,第三十二章,www.qu.la/book/4140/2612604.html
41,九院联动,第三十三章,www.qu.la/book/4140/2613822.html
42,黑暗森林,第三十四章,www.qu.la/book/4140/2614111.html
43,天才胖子,第三十五章,www.qu.la/book/4140/2619805.html
44,"燃烧吧,少年",第三十六章,www.qu.la/book/4140/2621907.html
45,颠倒黑白,第三十七章,www.qu.la/book/4140/2622953.html
46,杀心,第三十八章,www.qu.la/book/4140/2623262.html
47,阴魂不散,第三十九章,www.qu.la/book/4140/2624273.html
48,冲击轮脉境,第四十章,www.qu.la/book/4140/2624457.html
49,神兵阁,第四十一章,www.qu.la/book/4140/2625597.html
50,待遇,第四十二章,www.qu.la/book/4140/2626148.html
51,秦天神宗,第四十三章,www.qu.la/book/4140/2627078.html
52,炼神图录,第四十四章,www.qu.la/book/4140/2629887.html
53,战台之上,第四十五章,www.qu.la/book/4140/2630987.html
54,简单的答案,第四十六章,www.qu.la/book/4140/2631232.html
55,杀,第四十七章,www.qu.la/book/4140/2632442.html
56,处置结果,第四十八章,www.qu.la/book/4140/2632696.html
57,千手印,第四十九章,www.qu.la/book/4140/2633803.html
58,天梦林,第五十章,www.qu.la/book/4140/2635350.html
59,骑士盟,第五十一章,www.qu.la/book/4140/2637424.html
60,第一的骄傲,第五十二章,www.qu.la/book/4140/2637647.html
61,应战,第五十三章,www.qu.la/book/4140/2638539.html
62,熟人,第五十四章,www.qu.la/book/4140/2639590.html
63,敌人和朋友,第五十五章,www.qu.la/book/4140/2641162.html
64,欧辰的计划,第五十六章,www.qu.la/book/4140/2641517.html
65,挑衅,第五十七章,www.qu.la/book/4140/2646406.html
66,战斗前夕,第五十八章,www.qu.la/book/4140/2647274.html
67,瞩目之战,第五十九章,www.qu.la/book/4140/2648382.html
68,血脉枷锁,第六十章,www.qu.la/book/4140/2648701.html
69,有种你杀了我,第六十一章,www.qu.la/book/4140/2649429.html
70,任千行,第六十二章,www.qu.la/book/4140/2649995.html
71,青睐,第六十三章,www.qu.la/book/4140/2650870.html
72,燕宇寒,第六十四章,www.qu.la/book/4140/2651839.html
73,星辰妖兽,第六十五章,www.qu.la/book/4140/2656786.html
74,血炎果,第六十六章,www.qu.la/book/4140/2658587.html
75,翻脸,第六十七章,www.qu.la/book/4140/2659309.html
76,谁是黄雀,第六十八章,www.qu.la/book/4140/2660055.html
77,再遇,第六十九章,www.qu.la/book/4140/2661182.html
78,雪云国来客,第七十章,www.qu.la/book/4140/2661524.html
79,洛千秋,第七十一章,www.qu.la/book/4140/2662441.html
80,生死一念,第七十二章,www.qu.la/book/4140/2664201.html
81,苦修,第七十三章,www.qu.la/book/4140/2665657.html
82,战燕宇寒,第七十四章,www.qu.la/book/4140/2667095.html
83,皇家宴会,第七十五章,www.qu.la/book/4140/2669464.html
84,莫倾城的心事,第七十六章,www.qu.la/book/4140/2670613.html
85,楚天骄,第七十七章,www.qu.la/book/4140/2672906.html
86,秦瑶的心思,第七十八章,www.qu.la/book/4140/2673647.html
87,莫倾城的提醒,第七十九章,www.qu.la/book/4140/2675062.html
88,局,第八十章,www.qu.la/book/4140/2675627.html
89,澄清误会,第八十一章,www.qu.la/book/4140/2677539.html
90,男儿血,第八十二章,www.qu.la/book/4140/2681035.html
91,我不能死,第八十三章,www.qu.la/book/4140/2682284.html
92,春秋大梦,第八十四章,www.qu.la/book/4140/2684352.html
93,冬雪,第八十五章,www.qu.la/book/4140/2687150.html
94,同命之人,第八十六章,www.qu.la/book/4140/2687562.html
95,雪景,第八十七章,www.qu.la/book/4140/2688515.html
96,少年铁血,第八十八章,www.qu.la/book/4140/2688825.html
97,背后的身影,第八十九章,www.qu.la/book/4140/2689772.html
98,帝星学院的意志,第九十章,www.qu.la/book/4140/2690818.html
99,执念,第九十一章,www.qu.la/book/4140/2691747.html
100,恩义,第九十二章,www.qu.la/book/4140/2694502.html
101,莫伤谈话,第九十三章,www.qu.la/book/4140/2694503.html
102,洛千秋的背景,第九十四章,www.qu.la/book/4140/2694776.html
103,试着创造,第九十五章,www.qu.la/book/4140/2695594.html
104,第一幅画,第九十六章,www.qu.la/book/4140/2695831.html
105,一幅画引发的轰动,第九十七章,www.qu.la/book/4140/2696685.html
106,不识刻画人,第九十八章,www.qu.la/book/4140/2697068.html
107,很冷的‘笑话’,第九十九章,www.qu.la/book/4140/2706063.html
108,态度变化,第一百章,www.qu.la/book/4140/2707442.html
109,一个承诺,第一百零一章,www.qu.la/book/4140/2708710.html
110,公羊弘,第一百零二章,www.qu.la/book/4140/2708964.html
111,画中谜,第一百零三章,www.qu.la/book/4140/2715250.html
112,武命天罡,第一百零四章,www.qu.la/book/4140/2715532.html
113,若欢的调侃,第一百零五章,www.qu.la/book/4140/2716322.html
114,毒辣的心思,第一百零六章,www.qu.la/book/4140/2718910.html
115,刻意针对,第一百零七章,www.qu.la/book/4140/2720789.html
116,招式交锋,第一百零八章,www.qu.la/book/4140/2721134.html
117,咄咄逼人,第一百零九章,www.qu.la/book/4140/2722171.html
118,呆子,第一百一十章,www.qu.la/book/4140/2722498.html
119,乘鹤,第一百一十一章,www.qu.la/book/4140/2723877.html
120,危险的欧辰,第一百一十二章,www.qu.la/book/4140/2724216.html
121,天河殿中,第一百一十三章,www.qu.la/book/4140/2725034.html
122,起风云,第一百一十四章,www.qu.la/book/4140/2725641.html
123,点亮星空,第一百一十五章,www.qu.la/book/4140/2726459.html
124,齐聚楚王台,第一百一十六章,www.qu.la/book/4140/2726868.html
125,君临宴开幕,第一百一十七章,www.qu.la/book/4140/2727794.html
126,"一年太久,只争朝夕",第一百一十八章,www.qu.la/book/4140/2727990.html
127,一剑生、血光现,第一百一十九章,www.qu.la/book/4140/2728852.html
128,秦问天之名,第一百二十章,www.qu.la/book/4140/2729686.html
129,一笑泯恩仇,第一百二十一章,www.qu.la/book/4140/2730551.html
130,晋级的十八人,第一百二十二章,www.qu.la/book/4140/2731469.html
131,"且看今朝,你能否君临天下",第一百二十三章,www.qu.la/book/4140/2732264.html
132,萧律之言,第一百二十四章,www.qu.la/book/4140/2732498.html
133,再现剑光,第一百二十五章,www.qu.la/book/4140/2733212.html
134,帝星学院的爆发,第一百二十六章,www.qu.la/book/4140/2733516.html
